Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,551.6 kw (750 hp),784.8 lb-ft (1064 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,,,,,,,,,,,,,,,,,,4.9 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,,,,,All Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,,,,,,,,,275/60 R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,,,,,,,,,,228.5 in (5804 mm),85.3 in (2167 mm),76.1 in (1933 mm),"68.7/68.7 in (1,745/1,745 mm)",136.2 in (3459 mm),24.2 cuFT (685 L),,,,,,,,,6.9 in (175 mm),,39.9 ft (12.2 m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Escalade IQL,"2026 Cadillac Escalade IQL Photos, engines & full specs",CADILLAC Escalade IQLDual Motor AWD 205 KWh (750 HP),https://www.autoevolution.com/cars/cadillac-escalade-iql-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium nickel manganese cobalt oxides (Li-NMC),,449.9 miles (724.0 km),205 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2024 Cadillac XT4 Photos, engines & full specs",CADILLAC 2023 XT42.0L Turbocharged 9AT FWD (238 HP),https://www.autoevolution.com/cars/cadillac-2023-xt4-2023.html,L4,,175 KW @ 5000 RPM238 HP @ 5000 RPM235 BHP @ 5000 RPM,258 lb-ft @ 1500-4000 RPM350 Nm @ 1500-4000 RPM,,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2024 Cadillac XT4 Photos, engines & full specs",CADILLAC 2023 XT42.0L Turbocharged 9AT FWD (238 HP),https://www.autoevolution.com/cars/cadillac-2023-xt4-2023.html,,,,,,,,,,,,,,181.1 in (4600 mm),83.5 in (2121 mm),64.1 in (1628 mm),"63.2/63.1 in (1,605/1,603 mm)",109.4 in (2779 mm),22.5 cuFT (637 L),,,,,,,,,6.7 in (170 mm),,38.1 ft (11.6 m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2024 Cadillac XT4 Photos, engines & full specs",CADILLAC 2023 XT42.0L Turbocharged 9AT FWD (238 HP),https://www.autoevolution.com/cars/cadillac-2023-xt4-2023.html,,,,,,,,,,,,,,,,,,,,3660 lbs (1660 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT AWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,L4,1998 cm3,177.3 KW @ 5000 RPM241 HP @ 5000 RPM238 BHP @ 5000 RPM,258 lb-ft @ 1500-4000 RPM350 Nm @ 1500-4000 RPM,Turbocharged Direct Injection,Gasoline,15.9 gallons (60.2 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT AWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,All Wheel Drive,9-Speed automatic Hydra-Matic 9T50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT AWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT AWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,P235/60R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT AWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,,181 in (4597 mm),74.1 in (1882 mm),64.1 in (1628 mm),"63.2/63.1 in (1,605/1,603 mm)",109.4 in (2779 mm),22.5 cuFT (637 L),,,,,,,,,6.7 in (170 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT AWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,,,,,,,,3836 lbs (1740 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,L4,1998 cm3,177.3 KW @ 5000 RPM241 HP @ 5000 RPM238 BHP @ 5000 RPM,258 lb-ft @ 1500-4000 RPM350 Nm @ 1500-4000 RPM,Turbocharged Direct Injection,Gasoline,15.9 gallons (60.2 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,Front Wheel Drive,9-Speed automatic Hydra-Matic 9T50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,P235/60R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,,181 in (4597 mm),74.1 in (1882 mm),64.1 in (1628 mm),"63.2/63.1 in (1,605/1,603 mm)",109.4 in (2779 mm),22.5 cuFT (637 L),,,,,,,,,6.7 in (170 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,,,,,,,,3660 lbs (1660 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC XT4,"2019 Cadillac XT4 Photos, engines & full specs",CADILLAC XT42.0L 9AT FWD (241 HP),https://www.autoevolution.com/cars/cadillac-xt4-2018.html,,,,,,,,,,,,,,,,,,,,,27 mpg US (8.7 L/100Km),,,,,25 mpg US (9.4 L/100Km),30.2 mpg US (7.8 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Optiq-V,"2026 Cadillac Optiq-V Photos, engines & full specs",CADILLAC Optiq-VDual Motor 85 KWh AWD (519 HP),https://www.autoevolution.com/cars/cadillac-optiq-v-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,381.7 kw (519 hp),649.1 lb-ft (880 Nm),381.7 kw (519 hp),649.1 lb-ft (880 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Optiq-V,"2026 Cadillac Optiq-V Photos, engines & full specs",CADILLAC Optiq-VDual Motor 85 KWh AWD (519 HP),https://www.autoevolution.com/cars/cadillac-optiq-v-2025.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CADILLAC Optiq-V,"2026 Cadillac Optiq-V Photos, engines & full specs",CADILLAC Optiq-VDual Motor 85 KWh AWD (519 HP),https://www.autoevolution.com/cars/cadillac-optiq-v-2025.html,,,,,,,,,,,,,275/40 R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
