Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
PAGANI,PAGANI Utopia,"PAGANI Utopia  (2022-Present) Photos, engines & full specs",PAGANI Utopia6.0L V12 7AT RWD (864 HP),https://www.autoevolution.com/cars/pagani-utopia-2022.html,V12,5980 cm3,635.5 KW @ 6000 RPM864 HP @ 6000 RPM852 BHP @ 6000 RPM,811 lb-ft @ 2800-5900 RPM1100 Nm @ 2800-5900 RPM,Turbocharged Direct Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Utopia,"PAGANI Utopia  (2022-Present) Photos, engines & full specs",PAGANI Utopia6.0L V12 7AT RWD (864 HP),https://www.autoevolution.com/cars/pagani-utopia-2022.html,,,,,,,,,Rear Wheel Drive,7-speed transversal AMT (Automated Manual Transmission),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Utopia,"PAGANI Utopia  (2022-Present) Photos, engines & full specs",PAGANI Utopia6.0L V12 7AT RWD (864 HP),https://www.autoevolution.com/cars/pagani-utopia-2022.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Utopia,"PAGANI Utopia  (2022-Present) Photos, engines & full specs",PAGANI Utopia6.0L V12 7AT RWD (864 HP),https://www.autoevolution.com/cars/pagani-utopia-2022.html,,,,,,,,,,,,,265/35 R21 // 325/30 R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Utopia,"PAGANI Utopia  (2022-Present) Photos, engines & full specs",PAGANI Utopia6.0L V12 7AT RWD (864 HP),https://www.autoevolution.com/cars/pagani-utopia-2022.html,,,,,,,,,,,,,,,,,,,,2822 lbs (1280 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Imola,"PAGANI Imola  (2020-Present) Photos, engines & full specs",PAGANI Imola6.0L V12 7AT (827 HP),https://www.autoevolution.com/cars/pagani-imola-2020.html,V12,5980 cm3,608.3 KW @ - RPM827 HP @ - RPM816 BHP @ - RPM,811 lb-ft @ - RPM1100 Nm @ - RPM,Turbocharged Direct Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Imola,"PAGANI Imola  (2020-Present) Photos, engines & full specs",PAGANI Imola6.0L V12 7AT (827 HP),https://www.autoevolution.com/cars/pagani-imola-2020.html,,,,,,,,,Rear Wheel Drive,7-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Imola,"PAGANI Imola  (2020-Present) Photos, engines & full specs",PAGANI Imola6.0L V12 7AT (827 HP),https://www.autoevolution.com/cars/pagani-imola-2020.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Imola,"PAGANI Imola  (2020-Present) Photos, engines & full specs",PAGANI Imola6.0L V12 7AT (827 HP),https://www.autoevolution.com/cars/pagani-imola-2020.html,,,,,,,,,,,,,,191.1 in (4854 mm),80.1 in (2035 mm),50 in (1270 mm),,110 in (2794 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGANI,PAGANI Imola,"PAGANI Imola  (2020-Present) Photos, engines & full specs",PAGANI Imola6.0L V12 7AT (827 HP),https://www.autoevolution.com/cars/pagani-imola-2020.html,,,,,,,,,,,,,,,,,,,,2747 lbs (1246 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
