Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Dual Motor 112 KWh (748 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,550.2 kw (748 hp),598.9 lb-ft (812 Nm),550.2 kw (748 hp),598.9 lb-ft (812 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Dual Motor 112 KWh (748 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,,,,,,,,,,,,3.8 s,,,,,,,,,,,,,,,,,,,,,,,,155 mph (249 km/h),,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Dual Motor 112 KWh (748 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Dual Motor 112 KWh (748 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Dual Motor 112 KWh (748 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Dual Motor 112 KWh (748 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion (Li-Ion) NMC,106 kWh,416.3 miles (670.0 km),112 kWh,,,,,,,Consumption WLTP: 17.6-18.3 KWh/100 KmCharging capacity (AC): Up to 11 KWCharging capacity (DC): Up to 350 KW,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Performance 112 KWh (884 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,650.2 kw (884 hp),748.6 lb-ft (1015 Nm),650.2 kw (884 hp),748.6 lb-ft (1015 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Performance 112 KWh (884 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,,,,,,,,,,,,3.1 s,,,,,,,,,,,,,,,,,,,,,,,,155 mph (249 km/h),,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Performance 112 KWh (884 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Performance 112 KWh (884 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 5,"2025 Polestar 5 Photos, engines & full specs",Polestar 5Performance 112 KWh (884 HP),https://www.autoevolution.com/cars/polestar-5-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion (Li-Ion) NMC,106 kWh,351.1 miles (565.0 km),112 kWh,,,,,,,Consumption WLTP: 20.9 KWh/100 KmCharging capacity (AC): Up to 11 KWCharging capacity (DC): Up to 350 KW,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 2,"2024 Polestar 2 Photos, engines & full specs",Polestar 2Long range Dual motor 82 KWh AWD (421 HP),https://www.autoevolution.com/cars/polestar-2-2023.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,309.6 kw (421 hp),545.8 lb-ft (740 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 2,"2024 Polestar 2 Photos, engines & full specs",Polestar 2Long range Dual motor 82 KWh AWD (421 HP),https://www.autoevolution.com/cars/polestar-2-2023.html,,,,,,,,,,,,,,,,,,,,,,4.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 2,"2024 Polestar 2 Photos, engines & full specs",Polestar 2Long range Dual motor 82 KWh AWD (421 HP),https://www.autoevolution.com/cars/polestar-2-2023.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 2,"2024 Polestar 2 Photos, engines & full specs",Polestar 2Long range Dual motor 82 KWh AWD (421 HP),https://www.autoevolution.com/cars/polestar-2-2023.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polestar,Polestar 2,"2024 Polestar 2 Photos, engines & full specs",Polestar 2Long range Dual motor 82 KWh AWD (421 HP),https://www.autoevolution.com/cars/polestar-2-2023.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,,367.9 miles (592.1 km),82 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
