Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
TATA MOTORS,TATA MOTORS Altroz,"Tata Altroz Photos, engines & full specs",TATA MOTORS Altroz1.2L 6MT FWD (102 HP),https://www.autoevolution.com/cars/tata-motors-altroz-2019.html,L4,1198 cm3,75 KW @ 5500 RPM102 HP @ 5500 RPM101 BHP @ 5500 RPM,103 lb-ft @ 1750-4000 RPM140 Nm @ 1750-4000 RPM,Direct Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Altroz,"Tata Altroz Photos, engines & full specs",TATA MOTORS Altroz1.2L 6MT FWD (102 HP),https://www.autoevolution.com/cars/tata-motors-altroz-2019.html,,,,,,,,,Front Wheel Drive,6-Speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Altroz,"Tata Altroz Photos, engines & full specs",TATA MOTORS Altroz1.2L 6MT FWD (102 HP),https://www.autoevolution.com/cars/tata-motors-altroz-2019.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Altroz,"Tata Altroz Photos, engines & full specs",TATA MOTORS Altroz1.2L 6MT FWD (102 HP),https://www.autoevolution.com/cars/tata-motors-altroz-2019.html,,,,,,,,,,,,,,157 in (3988 mm),69.1 in (1755 mm),59.3 in (1506 mm),,98.5 in (2502 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Aria,"2010 Tata Aria Photos, engines & full specs",TATA MOTORS Aria2.2 Dicor 4x2 5MT (140 HP),https://www.autoevolution.com/cars/tata-motors-aria-2010.html,4,2179 cm3,103 KW @ 4000 RPM140 HP @ 4000 RPM138 BHP @ 4000 RPM,236 lb-ft @ 1700-2700 RPM320 Nm @ 1700-2700 RPM,Common Rail Direct Injection,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Aria,"2010 Tata Aria Photos, engines & full specs",TATA MOTORS Aria2.2 Dicor 4x2 5MT (140 HP),https://www.autoevolution.com/cars/tata-motors-aria-2010.html,,,,,,,,112 mph (180 km/h),,,,,,,,,,,,,,16.2 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Aria,"2010 Tata Aria Photos, engines & full specs",TATA MOTORS Aria2.2 Dicor 4x2 5MT (140 HP),https://www.autoevolution.com/cars/tata-motors-aria-2010.html,,,,,,,,,Rear Wheel Drive,"5-speed, Manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Aria,"2010 Tata Aria Photos, engines & full specs",TATA MOTORS Aria2.2 Dicor 4x2 5MT (140 HP),https://www.autoevolution.com/cars/tata-motors-aria-2010.html,,,,,,,,,,,,,235/65 R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Aria,"2010 Tata Aria Photos, engines & full specs",TATA MOTORS Aria2.2 Dicor 4x2 5MT (140 HP),https://www.autoevolution.com/cars/tata-motors-aria-2010.html,,,,,,,,,,,,,,188.2 in (4780 mm),74.6 in (1895 mm),70.1 in (1781 mm),,112.2 in (2850 mm),,,,,,,,,,7.9 in (201 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA MOTORS,TATA MOTORS Aria,"2010 Tata Aria Photos, engines & full specs",TATA MOTORS Aria2.2 Dicor 4x2 5MT (140 HP),https://www.autoevolution.com/cars/tata-motors-aria-2010.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4894 lbs (2220 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
