Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.7 kw (402 hp),457.3 lb-ft (620 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,5.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,All Wheel Drive,1-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,187 in (4750 mm),74.8 in (1900 mm),65.4 in (1661 mm),,116.1 in (2949 mm),,,,,,,,,,7.1 in (180 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,87.7 kWh,277.1 miles (445.9 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,256 kw (348 hp),368 lb-ft (499 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,6 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,All Wheel Drive,1-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,187 in (4750 mm),74.8 in (1900 mm),65.4 in (1661 mm),,116.1 in (2949 mm),,,,,,,,,,7.1 in (180 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Enhanced Range 87.7 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,87.7 kWh,292 miles (469.9 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,256 kw (348 hp),368 lb-ft (499 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,6 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,All Wheel Drive,1-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,187 in (4750 mm),74.8 in (1900 mm),65.4 in (1661 mm),,116.1 in (2949 mm),,,,,,,,,,7.1 in (180 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (348 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,82 kWh,259.7 miles (417.9 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.7 kw (402 hp),457.3 lb-ft (620 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,5.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,All Wheel Drive,1-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,187 in (4750 mm),74.8 in (1900 mm),65.4 in (1661 mm),,116.1 in (2949 mm),,,,,,,,,,7.1 in (180 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 8,"VinFast VF 8  (2022-Present) Photos, engines & full specs",VinFast VF 8Standard Range 82 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-8-2022.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,82 kWh,247.9 miles (399.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Enhanced Range 123 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.7 kw (402 hp),457.3 lb-ft (620 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Enhanced Range 123 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,,,,,,,,,,,,6.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Enhanced Range 123 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,All Wheel Drive,1-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Enhanced Range 123 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Enhanced Range 123 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,,,,201.6 in (5121 mm),78.7 in (1999 mm),67.8 in (1722 mm),,128 in (3251 mm),,,,,,,,,,8 in (203 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Enhanced Range 123 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,123 kWh,360.4 miles (580.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Standard Range 92 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.7 kw (402 hp),457.3 lb-ft (620 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Standard Range 92 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,,,,,,,,,,,,6.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Standard Range 92 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,All Wheel Drive,1-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Standard Range 92 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Standard Range 92 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,,,,201.6 in (5121 mm),78.7 in (1999 mm),67.8 in (1722 mm),,128 in (3251 mm),,,,,,,,,,8 in (203 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VinFast,VinFast VF 9,"VinFast VF 9  (2022-Present) Photos, engines & full specs",VinFast VF 9Standard Range 92 kWh AWD (402 Hp),https://www.autoevolution.com/cars/vinfast-vf-9-2022.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,92 kWh,262.2 miles (422.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
