Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,138.3 kw (188 hp),,353 kw (480 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126 mph (203 km/h),,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,,,,,235/60 R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,,,,,,187.1 in (4752 mm),75.6 in (1920 mm),65 in (1651 mm),"64.4/65 in (1,636/1,651 mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Dual-Motor AWD (480 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,,,,,,,,,,,,4619 lbs (2095 kg),,,,,,,,,3285 lbs (1490 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Single motor RWD (296 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,218 kw (296 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Single motor RWD (296 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126 mph (203 km/h),,,,,,,,,,,,,,,,,,,,,,
Xpeng,Xpeng G6,"2024 XPeng G6 Photos, engines & full specs",Xpeng G6Single motor RWD (296 HP),https://www.autoevolution.com/cars/xpeng-g6-2023.html,,,,,,,,,Rear Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
