Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,294.2 kw (400 hp),479.4 lb-ft (650 Nm),294.2 kw (400 hp),479.4 lb-ft (650 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,,,,,,,,,4.8 s,,,,,,,,,,,,,,,,,,,,,,,,124 mph (200 km/h),,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,181.7 in (4615 mm),74.2 in (1885 mm),60.3 in (1532 mm),,106.6 in (2708 mm),18.8 cuFT (532 L),,,,,,,,,6 in (152 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,,,,,,,4676 lbs (2121 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GT 89 KWh (400 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,89 kWh,323.1 miles (520.0 km),,,,,,,,"AC 11 kW bidirectional, 22 kW bidirectional optionalDC up to 190 Kw",,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,345.7 kw (470 hp),595.9 lb-ft (808 Nm),345.7 kw (470 hp),595.9 lb-ft (808 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,,,,,,,,,3.9 s,,,,,,,,,,,,,,,,,,,,,,,,137 mph (220 km/h),,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,181.7 in (4615 mm),74.2 in (1885 mm),60.3 in (1532 mm),,106.6 in (2708 mm),18.8 cuFT (532 L),,,,,,,,,6 in (152 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,,,,,,,4676 lbs (2121 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A390,"2025 Alpine A390 Photos, engines & full specs",ALPINE A390GTS 89 KWh (470 HP),https://www.autoevolution.com/cars/alpine-a390-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,89 kWh,323.1 miles (520.0 km),,,,,,,,"AC 11 kW bidirectional, 22 kW bidirectional optionalDC up to 190 Kw",,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,130.2 kw (177 hp),210.2 lb-ft (285 Nm),130.2 kw (177 hp),210.2 lb-ft (285 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,,,,,,,,,,7.4 s,,,,,,,,,,,,,,,,,,,,,,,,99 mph (159 km/h),,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,Ventilated discs 320 mm,Ventilated discs 288 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,225/40 R19 93V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,,157.4 in (3998 mm),71.8 in (1824 mm),59.5 in (1511 mm),,99.8 in (2535 mm),9.8 cuFT (278 L),,,,,,,,,,,,33.5 ft (10.2 m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,,,,,,,,3426 lbs (1554 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT 52 KWh (177 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,52 kWh,234.9 miles (378.0 km),,,,,,,,WLTP consumption: 15.9 kWh/100 kmMaximum DC charging power: 100 KWMaximum charging power in AC: 11 KWTotal recharge time at 11 kW: 4.5 hoursRecharge time from 0 to 80% in CC: 30 min (100 KW),,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT Performance 52 KWh (218 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,160.3 kw (218 hp),221.3 lb-ft (300 Nm),160.3 kw (218 hp),221.3 lb-ft (300 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT Performance 52 KWh (218 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,,,,,,,,,,6.4 s,,,,,,,,,,,,,,,,,,,,,,,,106 mph (171 km/h),,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT Performance 52 KWh (218 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT Performance 52 KWh (218 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,Ventilated discs 320 mm,Ventilated discs 288 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPINE,ALPINE A290,"2025 Alpine A290 Photos, engines & full specs",ALPINE A290GT Performance 52 KWh (218 HP),https://www.autoevolution.com/cars/alpine-a290-2024.html,,,,,,,,,,,,,225/40 R19 93V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
