Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 458.3 KWh (213 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,156.7 kw (213 hp),253 lb-ft (343 Nm),156.7 kw (213 hp),253 lb-ft (343 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 458.3 KWh (213 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 458.3 KWh (213 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,,,,,,173.2 in (4399 mm),73.6 in (1869 mm),57.9 in (1471 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 458.3 KWh (213 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,58.3 kWh,279.6 miles (450.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 4PHEV 7AT FWD (225 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,L4,,132.4 KW @ - RPM180 HP @ - RPM178 BHP @ - RPM,,Turbocharged Direct Injection,Plug-in Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,91.9 kw (125 hp),,165.5 kw (225 hp),265.5 lb-ft (360 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 4PHEV 7AT FWD (225 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,,,,,,,,,,,,,,7.1 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 4PHEV 7AT FWD (225 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,Front Wheel Drive,7-speed automatic eDCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 4PHEV 7AT FWD (225 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,,,,,,173.2 in (4399 mm),73.6 in (1869 mm),57.9 in (1471 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2026 DS No 4 Photos, engines & full specs",DS AUTOMOBILES No 4PHEV 7AT FWD (225 HP),https://www.autoevolution.com/cars/ds-automobiles-n4-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,14.6 kWh,50.3 miles (80.9 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS AUTOMOBILES,DS AUTOMOBILES DS 4,"2021 DS 4 Photos, engines & full specs",DS AUTOMOBILES DS 41.2L PureTech 8AT FWD (130 HP),https://www.autoevolution.com/cars/ds-automobiles-ds-4-2021.html,L3,1199 cm3,95.6 KW @ 5500 RPM130 HP @ 5500 RPM128 BHP @ 5500 RPM,170 lb-ft @ 1750 RPM230 Nm @ 1750 RPM,Multi-point indirect injection,Gasoline,13.7 gallons (51.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
