Brand,Model,Generation,Type
GENESIS,GENESIS GV80,2025 Genesis GV80,Car
GENESIS,GENESIS GV80,2021 Genesis GV80,Car
GENESIS,GENESIS GV70,2026 Genesis GV70,Car
GENESIS,GENESIS GV70,2021 Genesis GV70,Car
GENESIS,GENESIS G90,GENESIS G90 (2022-Present),Car
GENESIS,GENESIS G90,2020 Genesis G90,Car
GENESIS,GENESIS G90,GENESIS G90 (2016-2019),Car
GENESIS,GENESIS GV60,2023 Genesis GV60,Car
GENESIS,GENESIS G70,GENESIS G70 (2021-Present),Car
GENESIS,GENESIS G70,GENESIS G70 (2017-2021),Car
GENESIS,GENESIS G70 Shooting Brake,GENESIS G70 Shooting Brake (2021-Present),Car
GENESIS,GENESIS G80,GENESIS G80 (2020-Present),Car
GENESIS,GENESIS G80,GENESIS G80 (2016-2019),Car
