Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,L4,1991 cm3,268.5 KW @ -0 RPM365 HP @ -0 RPM360 BHP @ -0 RPM,317 lb-ft @ - RPM430 Nm @ - RPM,Turbocharged Direct Injection,Gasoline,13.9 gallons (52.6 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,180 mph (290 km/h),,,,,,,,,,,,,,4.4 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,,Rear Wheel Drive,8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,,,,,,245/35/R20 // 295/30/R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,,,,,,,173.7 in (4412 mm),74.6 in (1895 mm),48.2 in (1224 mm),"64/63.3 in (1,626/1,608 mm)",101.4 in (2576 mm),,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira2.0L 8AT RWD (365 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,,,,,,,,,,,,,3188 lbs (1446 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira3.5L V6 6AT RWD (400 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,V6,3456 cm3,294.2 KW @ 6800 RPM400 HP @ 6800 RPM395 BHP @ 6800 RPM,317 lb-ft @ - RPM430 Nm @ - RPM,Supercharge Direct injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira3.5L V6 6AT RWD (400 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,180 mph (290 km/h),,,,,,,,,,,,,,4.2 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS,LOTUS Emira,"2022 Lotus Emira Photos, engines & full specs",LOTUS Emira3.5L V6 6AT RWD (400 HP),https://www.autoevolution.com/cars/lotus-emira-2021.html,,,,,,,,,Rear Wheel Drive,6-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
