Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Lucid Motors,Lucid Motors Gravity,"2025 Lucid Gravity Photos, engines & full specs",Lucid Motors Gravity800 HP,https://www.autoevolution.com/cars/lucid-motors-gravity-2023.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.4 kw (800 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Gravity,"2025 Lucid Gravity Photos, engines & full specs",Lucid Motors Gravity800 HP,https://www.autoevolution.com/cars/lucid-motors-gravity-2023.html,,,,,,,,,,,,,,,,,,,,,,3.6 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Gravity,"2025 Lucid Gravity Photos, engines & full specs",Lucid Motors Gravity800 HP,https://www.autoevolution.com/cars/lucid-motors-gravity-2023.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Gravity,"2025 Lucid Gravity Photos, engines & full specs",Lucid Motors Gravity800 HP,https://www.autoevolution.com/cars/lucid-motors-gravity-2023.html,,,,,,,,,,,,,,198.2 in (5034 mm),78.7 in (1999 mm),65.2 in (1656 mm),,119.5 in (3035 mm),8 cuFT (227 L),,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Gravity,"2025 Lucid Gravity Photos, engines & full specs",Lucid Motors Gravity800 HP,https://www.autoevolution.com/cars/lucid-motors-gravity-2023.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440 miles (708.1 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Air,"Lucid Motors Air  (2021-Present) Photos, engines & full specs",Lucid Motors AirDream Edition Performance AWD (1111 HP),https://www.autoevolution.com/cars/lucid-motors-lucid-air-2020.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.1 kw (1111 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Air,"Lucid Motors Air  (2021-Present) Photos, engines & full specs",Lucid Motors AirDream Edition Performance AWD (1111 HP),https://www.autoevolution.com/cars/lucid-motors-lucid-air-2020.html,,,,,,,,168 mph (270 km/h),,,,,,,,,,,,,,2.6 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Air,"Lucid Motors Air  (2021-Present) Photos, engines & full specs",Lucid Motors AirDream Edition Performance AWD (1111 HP),https://www.autoevolution.com/cars/lucid-motors-lucid-air-2020.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Air,"Lucid Motors Air  (2021-Present) Photos, engines & full specs",Lucid Motors AirDream Edition Performance AWD (1111 HP),https://www.autoevolution.com/cars/lucid-motors-lucid-air-2020.html,,,,,,,,,,,,,,195.9 in (4976 mm),65.5 in (1664 mm),55.5 in (1410 mm),,116.5 in (2959 mm),23.2 cuFT (657 L),,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors,Lucid Motors Air,"Lucid Motors Air  (2021-Present) Photos, engines & full specs",Lucid Motors AirDream Edition Performance AWD (1111 HP),https://www.autoevolution.com/cars/lucid-motors-lucid-air-2020.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471 miles (758.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
