Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,L3,796 cm3,37 KW @ 5500 RPM50 HP @ 5500 RPM50 BHP @ 5500 RPM,43 lb-ft @ 2500 RPM58 Nm @ 2500 RPM,Carburetor,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,85.7 mph (138 km/h),,,,,,,,,,,,,,22.3 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,,Front Wheel Drive,4-Speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,,,,Discs,Drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,,,,,,145/70 R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,,,,,,,131.3 in (3335 mm),56.7 in (1440 mm),55.3 in (1405 mm),"57.9/58.3 in (1,471/1,481 mm)",85.6 in (2174 mm),,,,,,,,,,6.7 in (170 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,,,,,,,,,,,,,1434 lbs (650 kg),,,,,,,,,2568.4 lbs (1165 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI 800,"2000 Maruti Suzuki 800 Photos, engines & full specs",MARUTI SUZUKI 8000.8L 4MT (50 HP),https://www.autoevolution.com/cars/maruti-suzuki-800-2000.html,,,,,,,,,,,,,,,,,,,,,37.9 mpg US (6.2 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI Alto,"MARUTI SUZUKI Alto  (2000-2014) Photos, engines & full specs",MARUTI SUZUKI Alto0.8L 5MT FWD (47 HP),https://www.autoevolution.com/cars/maruti-suzuki-alto-2000.html,L3,796 cm3,34.6 KW @ 6200 RPM47 HP @ 6200 RPM46 BHP @ 6200 RPM,46 lb-ft @ 3000 RPM62 Nm @ 3000 RPM,Multipoint Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI SUZUKI,MARUTI SUZUKI Alto,"MARUTI SUZUKI Alto  (2000-2014) Photos, engines & full specs",MARUTI SUZUKI Alto0.8L 5MT FWD (47 HP),https://www.autoevolution.com/cars/maruti-suzuki-alto-2000.html,,,,,,,,80.7 mph (130 km/h),,,,,,,,,,,,,,20 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
