Brand,Model,Generation,Type
MG,MG U9,2025 MGU9,Car
MG,MG IM5,MG IM5,Car
MG,MG IM6,MG IM6,Car
MG,MG S5 EV,2026 MG S5 EV,Car
MG,MG MG 4,2024 MG 4 XPower,Car
MG,MG MG 4,2023 MG 4 EV,Car
MG,MG ZS,MG ZS EV (2021-Present),Car
MG,MG ZS,MG ZS (2017-2021),Car
MG,MG MG 5,MG MG 5 EV (2021-Present),Car
MG,MG Marvel R,MG Marvel R (2021-Present),Car
MG,MG MG 3,2025 MG 3 Hybrid+,Car
MG,MG MG 3,2014 MG 3,Car
MG,MG F/ TF,MG TF,Car
MG,MG F/ TF,1995 MG F,Car
MG,MG GS,2015 MG GS,Car
MG,MG HS,2019 MG HS,Car
MG,MG MG 6,2011 MG MG6 GT,Car
MG,MG MG 6,2011 MG MG6 Magnette,Car
MG,MG XPower,MG XPower (2004-2005),Car
MG,MG ZR 3 Doors,MG ZR 3 Doors (2004-2005),Car
MG,MG ZR 3 Doors,MG ZR 3 Doors (2001-2004),Car
MG,MG ZR 5 Doors,MG ZR 5 Doors (2004-2005),Car
MG,MG ZR 5 Doors,MG ZR 5 Doors (2001-2004),Car
MG,MG ZS Hatchback,MG ZS 4 Doors (2004-2005),Car
MG,MG ZS Hatchback,MG ZS 5 Doors (2002-2004),Car
MG,MG ZS Sedan,MG ZS 4 Doors (2004-2005),Car
MG,MG ZS Sedan,MG ZS 4 Doors (2001-2004),Car
MG,MG ZT,MG ZT (2004-2005),Car
MG,MG ZT,MG ZT (2001-2004),Car
MG,MG ZT-T,MG ZT-T (2004-2005),Car
MG,MG ZT-T,MG ZT-T (2001-2004),Car
