Brand,Model,Generation,Type
MINI,MINI Classic,2025 Mini Cooper S 5-door,Car
MINI,MINI Classic,2022 Mini Copper S,Car
MINI,MINI Classic,MINI Mini Classic (1997-2000),Car
MINI,MINI Aceman,2025 Mini Aceman,Car
MINI,MINI Countryman,2024 MINI Countryman SE ALL4,Car
MINI,MINI Countryman,2024 Mini Countryman C,Car
MINI,MINI Countryman,2021 Mini Countryman,Car
MINI,MINI Countryman,MINI Countryman (2016-2020),Car
MINI,MINI Countryman,MINI Countryman (2014-2016),Car
MINI,MINI Countryman,MINI Countryman (2010-2014),Car
MINI,MINI Convertible,2023 MINI Cooper SE Convertible,Car
MINI,MINI Convertible,MINI Convertible (2021-Present),Car
MINI,MINI Convertible,MINI Convertible (2018-2021),Car
MINI,MINI Convertible,MINI Convertible (2015-2018),Car
MINI,MINI Convertible,MINI Convertible (2009-2015),Car
MINI,MINI Convertible,MINI Convertible (2004-2009),Car
MINI,MINI Hatch,2024 Mini Cooper SE,Car
MINI,MINI Hatch,MINI Mini Cooper 3-door (2021-Present),Car
MINI,MINI Hatch,MINI John Cooper Works GP (2019-Present),Car
MINI,MINI Hatch,MINI Hatch (2018-2021),Car
MINI,MINI Hatch,MINI Hatch 5 Doors (2018-2021),Car
MINI,MINI Hatch,2014 MINI F55 Hatch,Car
MINI,MINI Hatch,MINI Hatch 5 Doors (2014-2018),Car
MINI,MINI Hatch,MINI Hatch (R56) (2006-2014),Car
MINI,MINI Hatch,MINI Hatch (R50) (2001-2006),Car
MINI,MINI Hatch,MINI Hatch (1997-2000),Car
MINI,MINI Clubman,2019 MINI Clubman,Car
MINI,MINI Clubman,2015 MINI Clubman,Car
MINI,MINI Clubman,MINI Clubman,Car
MINI,MINI Clubvan,2012 MINI Clubvan,Van
MINI,MINI Coupe,MINI Coupe (2011-2015),Car
MINI,MINI Paceman,MINI Paceman (2013-2016),Car
MINI,MINI Roadster,2011 MINI Roadster (R59),Car
