Brand,Model,Generation,Type
PROTON,PROTON Arena / Jumbuck,PROTON Arena/Jumbuck (2002-2011),Car
PROTON,PROTON Ertiga,Proton Ertiga,Car
PROTON,PROTON Exora,2012 Proton Exora,Car
PROTON,PROTON Exora,PROTON Exora (2009-2012),Car
PROTON,PROTON Gen-2,PROTON Gen-2 (2004-2013),Car
PROTON,PROTON Inspira,2010 Proton Inspira,Car
PROTON,PROTON Iriz,PROTON Iriz (2014-2017),Car
PROTON,PROTON Perdana,Proton Perdana (Facelift),Car
PROTON,PROTON Persona,Proton Persona,Car
PROTON,PROTON Persona,PROTON Persona (2007-2016),Car
PROTON,PROTON Preve,2012 Proton Prevé,Car
PROTON,PROTON Saga,Proton Saga,Car
PROTON,PROTON Saga,PROTON Saga FLX (2011-2016),Car
PROTON,PROTON Satria Neo,PROTON Satria Neo (2006-2015),Car
PROTON,PROTON Savvy,PROTON Savvy (2005-2012),Car
PROTON,PROTON Suprima S,2013 Proton Suprima S,Car
PROTON,PROTON Waja / Impian,PROTON Waja/Impian (2001-2011),Car
