Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
RIMAC,RIMAC Nevera,"2025 Rimac Nevera R Photos, engines & full specs",RIMAC Nevera R108 KWh AWD (2107 HP),https://www.autoevolution.com/cars/rimac-nevera-r-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.7 kw (2107 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"2025 Rimac Nevera R Photos, engines & full specs",RIMAC Nevera R108 KWh AWD (2107 HP),https://www.autoevolution.com/cars/rimac-nevera-r-2024.html,,,,,,,,,,,,,,,,,,,,,,1.66 s,,,,,,,,,,,,,,,,,,,,,,,,268 mph (431 km/h),,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"2025 Rimac Nevera R Photos, engines & full specs",RIMAC Nevera R108 KWh AWD (2107 HP),https://www.autoevolution.com/cars/rimac-nevera-r-2024.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"2025 Rimac Nevera R Photos, engines & full specs",RIMAC Nevera R108 KWh AWD (2107 HP),https://www.autoevolution.com/cars/rimac-nevera-r-2024.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"2025 Rimac Nevera R Photos, engines & full specs",RIMAC Nevera R108 KWh AWD (2107 HP),https://www.autoevolution.com/cars/rimac-nevera-r-2024.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"RIMAC Nevera  (2021-Present) Photos, engines & full specs",RIMAC Nevera120 KWh (1888 HP),https://www.autoevolution.com/cars/rimac-nevera-2021.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388.6 kw (1888 hp),1740.6 lb-ft (2360 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"RIMAC Nevera  (2021-Present) Photos, engines & full specs",RIMAC Nevera120 KWh (1888 HP),https://www.autoevolution.com/cars/rimac-nevera-2021.html,,,,,,,,,,,,,,,,,,,,,,1.97 s,,,,,,,,,,,,,,,,,,,,,,,,256 mph (412 km/h),,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"RIMAC Nevera  (2021-Present) Photos, engines & full specs",RIMAC Nevera120 KWh (1888 HP),https://www.autoevolution.com/cars/rimac-nevera-2021.html,,,,,,,,,All Wheel Drive,2-Speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"RIMAC Nevera  (2021-Present) Photos, engines & full specs",RIMAC Nevera120 KWh (1888 HP),https://www.autoevolution.com/cars/rimac-nevera-2021.html,,,,,,,,,,,Ventilated Discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"RIMAC Nevera  (2021-Present) Photos, engines & full specs",RIMAC Nevera120 KWh (1888 HP),https://www.autoevolution.com/cars/rimac-nevera-2021.html,,,,,,,,,,,,,275/35 R20 // 315/35 R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAC,RIMAC Nevera,"RIMAC Nevera  (2021-Present) Photos, engines & full specs",RIMAC Nevera120 KWh (1888 HP),https://www.autoevolution.com/cars/rimac-nevera-2021.html,,,,,,,,,,,,,,187 in (4750 mm),78.2 in (1986 mm),47.6 in (1209 mm),,108.1 in (2746 mm),,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
