Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,267 kw (363 hp),275.1 lb-ft (373 Nm),267 kw (363 hp),275.1 lb-ft (373 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,,,,,,,,,,,,6.5 s,,,,,,,,,,,,,,,,,,,,,,,,124 mph (200 km/h),,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,Rear Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,,,245/50 R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,,,,184.8 in (4694 mm),75.6 in (1920 mm),67.1 in (1704 mm),,114.2 in (2901 mm),22.2 cuFT (629 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,,,,,,,,,,4982 lbs (2260 kg),,,,,,,,,6085 lbs (2760 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh  RWD (363 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium nickel manganese cobalt oxides (Li-NMC),94 kWh,366.6 miles (590.0 km),100 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh AWD (587 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,431.7 kw (587 hp),474.3 lb-ft (643 Nm),431.7 kw (587 hp),474.3 lb-ft (643 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART,SMART 5,"2025 Smart #5 Photos, engines & full specs",SMART 5100 KWh AWD (587 HP),https://www.autoevolution.com/cars/smart-5-2024.html,,,,,,,,,,,,,,,,,,,,,,4.9 s,,,,,,,,,,,,,,,,,,,,,,,,124 mph (200 km/h),,,,,,,,,,,,,,,,,,,,,,
