Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2021-Present) Photos, engines & full specs",SSANGYONG Rexton2.2L 8AT AWD (202 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2021.html,L4,,148.6 KW @ - RPM202 HP @ - RPM199 BHP @ - RPM,325 lb-ft @ - RPM441 Nm @ - RPM,Turbocharged Common Rail,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2021-Present) Photos, engines & full specs",SSANGYONG Rexton2.2L 8AT AWD (202 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2021.html,,,,,,,,,All Wheel Drive,8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,L4,2157 cm3,133.1 KW @ 4000 RPM181 HP @ 4000 RPM178 BHP @ 4000 RPM,295 lb-ft @ 1400-2800 RPM400 Nm @ 1400-2800 RPM,Common Rail,Diesel,18.5 gallons (70.0 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,115 mph (185 km/h),,,,,,,,,,,,,,11.7 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,,All Wheel Drive,6-Speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,,,,,,235/70R16H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,,,,,,,190.9 in (4849 mm),77.2 in (1961 mm),71.9 in (1826 mm),"64.6/64.6 in (1,641/1,641 mm)",112.8 in (2865 mm),29 cuFT (821 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,,,,,,,,,,,,,4619 lbs (2095 kg),,,,,,,,,6305 lbs (2860 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG,SSANGYONG Rexton,"SSANGYONG Rexton  (2018-2021) Photos, engines & full specs",SSANGYONG Rexton2.2L 6MT 5 seats AWD (181 HP),https://www.autoevolution.com/cars/ssangyong-rexton-2018.html,,,,,,,,,,,,,,,,,,,,,36.2 mpg US (6.5 L/100Km),,,,,28.7 mpg US (8.2 L/100Km),42.8 mpg US (5.5 L/100Km),,,,,,,,,204 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
