Brand,Model,Generation,Type
TESLA,TESLA Model Y,2025 Tesla Model Y,Car
TESLA,TESLA Model Y,2020 Tesla Model Y,Car
TESLA,TESLA Model 3,2024 Tesla Model 3,Car
TESLA,TESLA Model 3,2018 Tesla Model 3,Car
TESLA,TESLA Model X,2024 Tesla Model X,Car
TESLA,TESLA Model X,2022 Tesla Model X,Car
TESLA,TESLA Model X,2016 Tesla Model X,Car
TESLA,TESLA Cybertruck,TESLA Cybertruck (2021-Present),Truck
TESLA,TESLA Model S,2021 Tesla Model S,Car
TESLA,TESLA Model S,2019 Tesla Model S,Car
TESLA,TESLA Model S,2016 Tesla Model S,Car
TESLA,TESLA Model S,TESLA Model S (2012-2016),Car
TESLA,TESLA Roadster,2020 Tesla Roadster,Car
TESLA,TESLA Roadster,TESLA Roadster (2009-2012),Car
TESLA,TESLA Roadster,2008 Tesla Roadster,Car
